    E       Coeff1      Coeff2
-2.834212188554161    0.95   2.4   
-2.8332664240795395    0.95   2.41   
-2.8323063221936433    0.95   2.42   
-2.831332109799244    0.95   2.43   
-2.830344012594675    0.95   2.44   
-2.82934225506267    0.95   2.45   
-2.8283270604594075    0.95   2.46   
-2.827298650803722    0.95   2.47   
-2.8262572468665095    0.95   2.48   
-2.8252030681603184    0.95   2.49   
-2.8241363329291174    0.95   2.5   
-2.8230572581382494    0.95   2.51   
-2.821966059464586    0.95   2.52   
-2.8208629512868457    0.95   2.53   
-2.8197481466761043    0.95   2.54   
-2.818621857386498    0.95   2.55   
-2.817484293846105    0.95   2.56   
-2.816335665148015    0.95   2.57   
-2.815176179041593    0.95   2.58   
-2.8140060419239217    0.95   2.59   
-2.8128254588314427    0.95   2.6   
-2.8116346334317783    0.95   2.61   
-2.8104337680157494    0.95   2.62   
-2.8092230634895943    0.95   2.63   
-2.8080027193673582    0.95   2.64   
-2.8067729337635052    0.95   2.65   
-2.8055339033856925    0.95   2.66   
-2.8042858235277808    0.95   2.67   
-2.8030288880630043    0.95   2.68   
-2.80176328943736    0.95   2.69   
-2.8004892186631922    0.95   2.7   
-2.7992068653129776    0.95   2.71   
-2.797916417513315    0.95   2.72   
-2.796618061939107    0.95   2.73   
-2.7953119838079643    0.95   2.74   
-2.7939983668747903    0.95   2.75   
-2.7926773934266    0.95   2.76   
-2.7913492442775225    0.95   2.77   
-2.7900140987640176    0.95   2.78   
-2.788672134740314    0.95   2.79   
-2.7873235285740376    0.95   2.8   
-2.785968455142063    0.95   2.81   
-2.784607087826574    0.95   2.82   
-2.7832395985113356    0.95   2.83   
-2.7818661575781682    0.95   2.84   
-2.7804869339036657    0.95   2.85   
-2.7791020948560816    0.95   2.86   
-2.7777118062924764    0.95   2.87   
-2.7763162325560446    0.95   2.88   
-2.774915536473677    0.95   2.89   
-2.7735098793537283    0.95   2.9   
-2.7720994209840133    0.95   2.91   
-2.7706843196299973    0.95   2.92   
-2.769264732033227    0.95   2.93   
-2.7678408134099635    0.95   2.94   
-2.7664127174500304    0.95   2.95   
-2.7649805963158904    0.95   2.96   
-2.7635446006419224    0.95   2.97   
-2.762104879533936    0.95   2.98   
-2.760661580568863    0.95   2.99   
-2.7592148497947173    0.95   3.0   
-2.7577648317307237    0.95   3.01   
-2.7563116693676806    0.95   3.02   
-2.7548555041685425    0.95   3.03   
-2.7533964760691965    0.95   3.04   
-2.751934723479472    0.95   3.05   
-2.7504703832843416    0.95   3.06   
-2.749003590845356    0.95   3.07   
-2.7475344791999814    0.95   3.08   
-2.746063182323829    0.95   3.09   
-2.744589830162469    0.95   3.1   
-2.7431145520022278    0.95   3.11   
-2.741637475616216    0.95   3.12   
-2.740158727267019    0.95   3.13   
-2.738678431709536    0.95   3.14   
-2.737196712194057    0.95   3.15   
-2.7357136904695194    0.95   3.16   
-2.7342294867869743    0.95   3.17   
-2.7327442199032363    0.95   3.18   
-2.731258007084739    0.95   3.19   
-2.7297709641115766    0.95   3.2   
-2.7282832052817327    0.95   3.21   
-2.7267948434155054    0.95   3.22   
-2.7253059898601064    0.95   3.23   
-2.7238167544944667    0.95   3.24   
-2.72232724573419    0.95   3.25   
-2.7208375705367254    0.95   3.26   
-2.719347834406679    0.95   3.27   
-2.7178581414013343    0.95   3.28   
-2.7163685941363136    0.95   3.29   
-2.714879293791443    0.95   3.3   
-2.7133903401167516    0.95   3.31   
-2.7119018314386674    0.95   3.32   
-2.7104138646663425    0.95   3.33   
-2.7089265352981746    0.95   3.34   
-2.7074399374284526    0.95   3.35   
-2.7059541637541726    0.95   3.36   
-2.704469305582017    0.95   3.37   
-2.7029854528354478    0.95   3.38   
-2.7015026940619826    0.95   3.39   
-2.7000211164405976    0.95   3.4   
-2.8358000753071146    0.96   2.4   
-2.8348991487556283    0.96   2.41   
-2.8339842774316644    0.96   2.42   
-2.833055679906387    0.96   2.43   
-2.8321135735873497    0.96   2.44   
-2.8311581747079986    0.96   2.45   
-2.8301896983173442    0.96   2.46   
-2.8292083582698315    0.96   2.47   
-2.8282143672153626    0.96   2.48   
-2.827207936589513    0.96   2.49   
-2.8261892766039125    0.96   2.5   
-2.825158596236802    0.96   2.51   
-2.824116103223781    0.96   2.52   
-2.8230620040487127    0.96   2.53   
-2.821996503934818    0.96   2.54   
-2.8209198068359402    0.96   2.55   
-2.8198321154279933    0.96   2.56   
-2.818733631100584    0.96   2.57   
-2.8176245539488116    0.96   2.58   
-2.816505082765264    0.96   2.59   
-2.815375415032169    0.96   2.6   
-2.8142357469137433    0.96   2.61   
-2.813086273248722    0.96   2.62   
-2.8119271875430725    0.96   2.63   
-2.8107586819628896    0.96   2.64   
-2.8095809473274778    0.96   2.65   
-2.8083941731026143    0.96   2.66   
-2.8071985473940106    0.96   2.67   
-2.805994256940961    0.96   2.68   
-2.804781487110169    0.96   2.69   
-2.8035604218897756    0.96   2.7   
-2.8023312438835717    0.96   2.71   
-2.801094134305412    0.96   2.72   
-2.7998492729738182    0.96   2.73   
-2.79859683830677    0.96   2.74   
-2.797337007316701    0.96   2.75   
-2.796069955605687    0.96   2.76   
-2.7947958573608362    0.96   2.77   
-2.793514885349866    0.96   2.78   
-2.7922272109168906    0.96   2.79   
-2.7909330039784077    0.96   2.8   
-2.7896324330194715    0.96   2.81   
-2.7883256650900887    0.96   2.82   
-2.7870128658017994    0.96   2.83   
-2.785694199324469    0.96   2.84   
-2.7843698283832694    0.96   2.85   
-2.7830399142558937    0.96   2.86   
-2.781704616769936    0.96   2.87   
-2.7803640943005066    0.96   2.88   
-2.7790185037680373    0.96   2.89   
-2.7776680006362926    0.96   2.9   
-2.7763127389105873    0.96   2.91   
-2.7749528711362093    0.96   2.92   
-2.773588548397051    0.96   2.93   
-2.772219920314437    0.96   2.94   
-2.7708471350461674    0.96   2.95   
-2.7694703392857574    0.96   2.96   
-2.7680896782618865    0.96   2.97   
-2.7667052957380553    0.96   2.98   
-2.765317334012431    0.96   2.99   
-2.763925933917921    0.96   3.0   
-2.7625312348224265    0.96   3.01   
-2.7611333746293116    0.96   3.02   
-2.759732489778073    0.96   3.03   
-2.75832871524521    0.96   3.04   
-2.756922183749909    0.96   3.05   
-2.7555130289860936    0.96   3.06   
-2.7541013807013224    0.96   3.07   
-2.752687368032875    0.96   3.08   
-2.7512711186623724    0.96   3.09   
-2.749852758817834    0.96   3.1   
-2.7484324132759257    0.96   3.11   
-2.7470102053644134    0.96   3.12   
-2.7455862569647946    0.96   3.13   
-2.7441606885151293    0.96   3.14   
-2.7427336190130553    0.96   3.15   
-2.741305166018991    0.96   3.16   
-2.7398754456595373    0.96   3.17   
-2.7384445726310305    0.96   3.18   
-2.737012660203322    0.96   3.19   
-2.735579820223691    0.96   3.2   
-2.7341461631209922    0.96   3.21   
-2.732711797909916    0.96   3.22   
-2.7312768321954803    0.96   3.23   
-2.729841372177656    0.96   3.24   
-2.728405522656191    0.96   3.25   
-2.7269693870355742    0.96   3.26   
-2.7255330673302014    0.96   3.27   
-2.7240966641696636    0.96   3.28   
-2.7226602768042385    0.96   3.29   
-2.7212240031105175    0.96   3.3   
-2.719787939597181    0.96   3.31   
-2.718352181410957    0.96   3.32   
-2.716916822342715    0.96   3.33   
-2.7154819548337037    0.96   3.34   
-2.71404766998195    0.96   3.35   
-2.712614057548787    0.96   3.36   
-2.7111812059655422    0.96   3.37   
-2.7097492023403507    0.96   3.38   
-2.708318132465105    0.96   3.39   
-2.7068880808225506    0.96   3.4   
-2.837327158184875    0.97   2.4   
-2.8364697323731396    0.97   2.41   
-2.835598746694799    0.97   2.42   
-2.8347144116248137    0.97   2.43   
-2.833816936514898    0.97   2.44   
-2.8329065295836537    0.97   2.45   
-2.8319833979068383    0.97   2.46   
-2.8310477474078404    0.97   2.47   
-2.830099782848285    0.97   2.48   
-2.8291397078188383    0.97   2.49   
-2.8281677247301684    0.97   2.5   
-2.8271840348040644    0.97   2.51   
-2.8261888380647315    0.97   2.52   
-2.82518233333026    0.97   2.53   
-2.8241647182042593    0.97   2.54   
-2.8231361890676476    0.97   2.55   
-2.822096941070634    0.97   2.56   
-2.8210471681248555    0.97   2.57   
-2.8199870628956916    0.97   2.58   
-2.81891681679475    0.97   2.59   
-2.817836619972517    0.97   2.6   
-2.8167466613112024    0.97   2.61   
-2.8156471284177313    0.97   2.62   
-2.814538207616929    0.97   2.63   
-2.813420083944886    0.97   2.64   
-2.812292941142479    0.97   2.65   
-2.811156961649094    0.97   2.66   
-2.8100123265965093    0.97   2.67   
-2.8088592158029733    0.97   2.68   
-2.8076978077674593    0.97   2.69   
-2.806528279664082    0.97   2.7   
-2.805350807336743    0.97   2.71   
-2.8041655652939035    0.97   2.72   
-2.8029727267035924    0.97   2.73   
-2.8017724633885592    0.97   2.74   
-2.8005649458216446    0.97   2.75   
-2.7993503431213185    0.97   2.76   
-2.798128823047412    0.97   2.77   
-2.7969005519970462    0.97   2.78   
-2.795665695000734    0.97   2.79   
-2.7944244157186895    0.97   2.8   
-2.7931768764373137    0.97   2.81   
-2.791923238065879    0.97   2.82   
-2.7906636601334136    0.97   2.83   
-2.7893983007857557    0.97   2.84   
-2.788127316782823    0.97   2.85   
-2.7868508634960656    0.97   2.86   
-2.785569094906117    0.97   2.87   
-2.7842821636006283    0.97   2.88   
-2.7829902207723154    0.97   2.89   
-2.781693416217181    0.97   2.9   
-2.7803918983329425    0.97   2.91   
-2.7790858141176553    0.97   2.92   
-2.777775309168524    0.97   2.93   
-2.776460527680911    0.97   2.94   
-2.775141612447545    0.97   2.95   
-2.7738187048579137    0.97   2.96   
-2.7724919448978538    0.97   2.97   
-2.7711614711493455    0.97   2.98   
-2.76982742079048    0.97   2.99   
-2.7684899295956393    0.97   3.0   
-2.7671491311010947    0.97   3.01   
-2.7658051599940716    0.97   3.02   
-2.7644581469541536    0.97   3.03   
-2.763108222146487    0.97   3.04   
-2.761755514336232    0.97   3.05   
-2.760400150889882    0.97   3.06   
-2.759042257776758    0.97   3.07   
-2.7576819595707027    0.97   3.08   
-2.75631937945195    0.97   3.09   
-2.7549546392091875    0.97   3.1   
-2.7535878592417937    0.97   3.11   
-2.7522191585622653    0.97   3.12   
-2.750848654798819    0.97   3.13   
-2.7494764641981786    0.97   3.14   
-2.748102701628533    0.97   3.15   
-2.746727480582675    0.97   3.16   
-2.745350913181319    0.97   3.17   
-2.7439731101765745    0.97   3.18   
-2.742594180955625    0.97   3.19   
-2.7412142335445298    0.97   3.2   
-2.739833374612239    0.97   3.21   
-2.7384517094747487    0.97   3.22   
-2.737069342099422    0.97   3.23   
-2.7356863751094864    0.97   3.24   
-2.7343029097886684    0.97   3.25   
-2.7329190460860175    0.97   3.26   
-2.731534882620849    0.97   3.27   
