Number of Basis Functions	Total Energy	Occupied Orbital Energy

1	-2.3750000000000000	-0.87500000000000000
2	-2.7777488608747589	-0.90314541830493589
3	-2.8491068509179556	-0.91035385343519726
4	-2.8601517263270289	-0.91697714569003463
5	-2.8615833765190306	-0.91789990134209665
6	-2.8616784635740715	-0.91795107759318539
7	-2.8616795808028996	-0.91795181851650509
8	-2.8616798507000443	-0.91795195530075890
9	-2.8616799789795850	-0.91795204676757625
10	-2.8616799946472984	-0.91795167344770345

# Optimal Double Zeta	
2*	-2.8616715939801685	-0.91816353360207648

# Hartree-Fock Limit
inf	-2.86179995685207	
