    E       Coeff1      Coeff2
-2.79360003475812    0.005   1.455   
-2.7959000315870854    0.005   1.46   
-2.79815002857718    0.005   1.465   
-2.8003500257267686    0.005   1.47   
-2.802500023034256    0.005   1.475   
-2.8046000204980968    0.005   1.48   
-2.8066500181167764    0.005   1.485   
-2.8086500158888374    0.005   1.49   
-2.8106000138128486    0.005   1.495   
-2.8125000118874324    0.005   1.5   
-2.8143500101112418    0.005   1.505   
-2.8161500084829734    0.005   1.51   
-2.817900007001364    0.005   1.515   
-2.8196000056651878    0.005   1.52   
-2.8212500044732547    0.005   1.525   
-2.8228500034244166    0.005   1.53   
-2.8244000025175597    0.005   1.535   
-2.825900001751609    0.005   1.54   
-2.827350001125521    0.005   1.545   
-2.8287500006382946    0.005   1.55   
-2.830100000288961    0.005   1.555   
-2.831400000076586    0.005   1.56   
-2.8326500000002715    0.005   1.565   
-2.833850000059155    0.005   1.57   
-2.835000000252403    0.005   1.575   
-2.8361000005792225    0.005   1.58   
-2.8371500010388533    0.005   1.585   
-2.8381500016305656    0.005   1.59   
-2.8391000023536623    0.005   1.595   
-2.840000003207482    0.005   1.6   
-2.8408500041913958    0.005   1.605   
-2.8416500053048064    0.005   1.61   
-2.842400006547149    0.005   1.615   
-2.84310000791789    0.005   1.62   
-2.843750009416531    0.005   1.625   
-2.844350011042602    0.005   1.63   
-2.844900012795667    0.005   1.635   
-2.845400014675321    0.005   1.64   
-2.845850016681191    0.005   1.645   
-2.846250018812935    0.005   1.65   
-2.846600021070242    0.005   1.655   
-2.846900023452836    0.005   1.66   
-2.847150025960467    0.005   1.665   
-2.847350028592922    0.005   1.67   
-2.8475000313500165    0.005   1.675   
-2.8476000342315957    0.005   1.68   
-2.8476500372375404    0.005   1.685   
-2.847650040367762    0.005   1.69   
-2.847600043622199    0.005   1.695   
-2.847500047000832    0.005   1.7   
-2.8473500505036604    0.005   1.705   
-2.847150054130729    0.005   1.71   
-2.8469000578821024    0.005   1.715   
-2.8466000617578877    0.005   1.72   
-2.846250065758218    0.005   1.725   
-2.845850069883264    0.005   1.73   
-2.845400074133224    0.005   1.735   
-2.844900078508335    0.005   1.74   
-2.8443500830088646    0.005   1.745   
-2.8437500876351143    0.005   1.75   
-2.8431000923874215    0.005   1.755   
-2.842400097266153    0.005   1.76   
-2.8416501022717173    0.005   1.765   
-2.8408501074045573    0.005   1.77   
-2.840000112665143    0.005   1.775   
-2.8391001180539917    0.005   1.78   
-2.838150123571651    0.005   1.785   
-2.8371501292187022    0.005   1.79   
-2.836100134995773    0.005   1.795   
-2.8350001409035217    0.005   1.8   
-2.8338501469426474    0.005   1.805   
-2.83265015311389    0.005   1.81   
-2.831400159418025    0.005   1.815   
-2.8301001658558724    0.005   1.82   
-2.8287501724282897    0.005   1.825   
-2.8273501791361766    0.005   1.83   
-2.8259001859804767    0.005   1.835   
-2.824400192962175    0.005   1.84   
-2.822850200082303    0.005   1.845   
-2.8212502073419317    0.005   1.85   
-2.819600214742184    0.005   1.855   
-2.8179002222842224    0.005   1.86   
-2.8161502299692636    0.005   1.865   
-2.814350237798566    0.005   1.87   
-2.8125002457734416    0.005   1.875   
-2.810600253895251    0.005   1.88   
-2.8086502621654077    0.005   1.885   
-2.8066502705853753    0.005   1.89   
-2.8046002791566744    0.005   1.895   
-2.802500287880877    0.005   1.9   
-2.8003502967596146    0.005   1.905   
-2.7981503057945725    0.005   1.91   
-2.795900314987501    0.005   1.915   
-2.793600324340203    0.005   1.92   
-2.791250333854549    0.005   1.925   
-2.788850343532474    0.005   1.93   
-2.786400353375972    0.005   1.935   
-2.7839003633871107    0.005   1.94   
-2.7813503735680216    0.005   1.945   
-2.7787503839209107    0.005   1.95   
-2.776100394448051    0.005   1.955   
-2.7734004051517953    0.005   1.96   
-2.77065041603457    0.005   1.965   
-2.7678504270988817    0.005   1.97   
-2.7650004383473186    0.005   1.975   
-2.762100449782549    0.005   1.98   
-2.7591504614073297    0.005   1.985   
-2.7561504732245052    0.005   1.99   
-2.7531004852370122    0.005   1.995   
-2.7500004974478784    0.005   2.0   
-2.746850509860231    0.005   2.005   
-2.743650522477295    0.005   2.01   
-2.7404005353023986    0.005   2.015   
-2.737100548338979    0.005   2.02   
-2.733750561590579    0.005   2.025   
-2.7303505750608563    0.005   2.03   
-2.7269005887535847    0.005   2.035   
-2.7234006026726614    0.005   2.04   
-2.7198506168221046    0.005   2.045   
-2.7162506312060666    0.005   2.05   
-2.7126006458288265    0.005   2.055   
-2.708900660694809    0.005   2.06   
-2.7051506758085755    0.005   2.065   
-2.701350691174839    0.005   2.07   
-2.6975007067984658    0.005   2.075   
-2.6936007226844807    0.005   2.08   
-2.6896507388380715    0.005   2.085   
-2.6856507552645983    0.005   2.09   
-2.6816007719695976    0.005   2.095   
-2.6775007889587923    0.005   2.1   
-2.6733508062380915    0.005   2.105   
-2.6691508238136046    0.005   2.11   
-2.6649008416916473    0.005   2.115   
-2.66060085987875    0.005   2.12   
-2.6562508783816607    0.005   2.125   
-2.6518508972073622    0.005   2.13   
-2.6474009163630736    0.005   2.135   
-2.642900935856267    0.005   2.14   
-2.6383509556946745    0.005   2.145   
-2.6337509758862963    0.005   2.15   
-2.6291009964394174    0.005   2.155   
-2.624401017362614    0.005   2.16   
-2.6196510386647707    0.005   2.165   
-2.614851060355087    0.005   2.17   
-2.6100010824431017    0.005   2.175   
-2.6051011049386954    0.005   2.18   
-2.600151127852116    0.005   2.185   
-2.595151151193988    0.005   2.19   
-2.5901011749753327    0.005   2.195   
-2.5850011992075834    0.005   2.2   
-2.5798512239026103    0.005   2.205   
-2.57465124907273    0.005   2.21   
-2.569401274730743    0.005   2.215   
-2.5641013008899356    0.005   2.22   
-2.5587513275641194    0.005   2.225   
-2.553351354767651    0.005   2.23   
-2.547901382515458    0.005   2.235   
-2.542401410823067    0.005   2.24   
-2.536851439706633    0.005   2.245   
-2.5312514691829753    0.005   2.25   
-2.5256014992696034    0.005   2.255   
-2.519901529984757    0.005   2.26   
-2.5141515613474468    0.005   2.265   
-2.508351593377486    0.005   2.27   
-2.5025016260955435    0.005   2.275   
-2.4966016595231793    0.005   2.28   
-2.490651693682901    0.005   2.285   
-2.484651728598209    0.005   2.29   
-2.4786017642936558    0.005   2.295   
-2.472501800794902    0.005   2.3   
-2.466351838128784    0.005   2.305   
-2.4601518763233714    0.005   2.31   
-2.4539019154080477    0.005   2.315   
-2.4476019554135844    0.005   2.32   
-2.4412519963722223    0.005   2.325   
-2.4348520383177568    0.005   2.33   
-2.42840208128564    0.005   2.335   
-2.421902125313072    0.005   2.34   
-2.4153521704391214    0.005   2.345   
-2.4087522167048316    0.005   2.35   
-2.402102264153357    0.005   2.355   
-2.3954023128300905    0.005   2.36   
-2.388652362782816    0.005   2.365   
-2.3818524140618655    0.005   2.37   
-2.3750024667202885    0.005   2.375   
-2.3681025208140407    0.005   2.38   
-2.3611525764021812    0.005   2.385   
-2.3541526335470944    0.005   2.39   
-2.3471026923147225    0.005   2.395   
-2.340002752774822    0.005   2.4   
-2.3328528150012495    0.005   2.405   
-2.325652879072254    0.005   2.41   
-2.318402945070821    0.005   2.415   
-2.3111030130850274    0.005   2.42   
-2.3037530832084396    0.005   2.425   
-2.296353155540546    0.005   2.43   
-2.288903230187232    0.005   2.435   
-2.281403307261307    0.005   2.44   
-2.2738533868830686    0.005   2.445   
-2.2662534691809424    0.005   2.45   
-2.2586035542921796    0.005   2.455   
-2.2509036423636175    0.005   2.46   
-2.243153733552539    0.005   2.465   
-2.235353828027616    0.005   2.47   
-2.2275039259699616    0.005   2.475   
-2.219604027574282    0.005   2.48   
-2.211654133050199    0.005   2.485   
-2.2036542426236823    0.005   2.49   
-2.1956043565386896    0.005   2.495   
-2.187504475058982    0.005   2.5   
-2.1793545984701796    0.005   2.505   
-2.1711547270820675    0.005   2.51   
-2.162904861231209    0.005   2.515   
-2.1546050012838998    0.005   2.52   
-2.1462551476395246    0.005   2.525   
-2.137855300734374    0.005   2.53   
-2.1294054610460083    0.005   2.535   
-2.1209056290982584    0.005   2.54   
-2.112355805466956    0.005   2.545   
-2.103755990786555    0.005   2.55   
-2.0951061857577793    0.005   2.555   
-2.086406391156507    0.005   2.56   
-2.077656607844109    0.005   2.565   
-2.068856836779569    0.005   2.57   
-2.0600070790336864    0.005   2.575   
-2.051107335805871    0.005   2.58   
-2.042157608444029    0.005   2.585   
-2.033157898468267    0.005   2.59   
-2.0241082075992782    0.005   2.595   
-2.0150085377925424    0.005   2.6   
-2.0058588912797473    0.005   2.605   
-1.9966592706193007    0.005   2.61   
-1.9874096787583433    0.005   2.615   
-1.978110119109423    0.005   2.62   
-1.9687605956460303    0.005   2.625   
-1.9593611130226583    0.005   2.63   
-1.949911676727017    0.005   2.635   
-1.9404122932749184    0.005   2.64   
-1.9308629704624165    0.005   2.645   
-1.9212637176958196    0.005   2.65   
-1.9116145464290193    0.005   2.655   
-1.9019154707510748    0.005   2.66   
-1.892166508187659    0.005   2.665   
-1.8823676808125047    0.005   2.67   
-1.872519016817561    0.005   2.675   
-1.8626205527771686    0.005   2.68   
-1.852672336989031    0.005   2.685   
-1.84267443453303    0.005   2.69   
-1.8326269351575144    0.005   2.695   
-1.8225299659838874    0.005   2.7   
-1.8123837127442728    0.005   2.705   
-1.8021884567743705    0.005   2.71   
-1.7919446423704177    0.005   2.715   
-1.781653004922562    0.005   2.72   
-1.7713148226003934    0.005   2.725   
-1.760932405388514    0.005   2.73   
-1.7505099223965768    0.005   2.735   
-1.740054215255832    0.005   2.74   
STOP
