    E       Coeff1      Coeff2
-0.16625000201165677    0.05   0.05   
-0.39307802808250164    0.05   0.1   
-0.5314325574212962    0.05   0.15   
-0.6706140027783198    0.05   0.2   
-0.8084081627794802    0.05   0.25   
-0.9435594212239431    0.05   0.3   
-1.075304059558157    0.05   0.35   
-1.2031573098818125    0.05   0.4   
-1.326801179555823    0.05   0.45   
-1.446021203226805    0.05   0.5   
-1.5606691863542708    0.05   0.55   
-1.670640501014521    0.05   0.6   
-1.7758598454654007    0.05   0.65   
-1.8762720823497083    0.05   0.7   
-1.971836208200493    0.05   0.75   
-2.0625213010884216    0.05   0.8   
-2.1483037457842618    0.05   0.85   
-2.2291653007583236    0.05   0.9   
-2.305091730287767    0.05   0.95   
-2.3760718224449064    0.05   1.0   
-2.442096674786853    0.05   1.05   
-2.503159168520692    0.05   1.1   
-2.559253577217409    0.05   1.15   
-2.610375272851999    0.05   1.2   
-2.6565205031501877    0.05   1.25   
-2.6976862218491777    0.05   1.3   
-2.733869958749565    0.05   1.35   
-2.7650697201331944    0.05   1.4   
-2.791283912761045    0.05   1.45   
-2.812511286590004    0.05   1.5   
-2.828750892792812    0.05   1.55   
-2.8400020547992906    0.05   1.6   
-2.8462643510263494    0.05   1.65   
-2.8475376088366406    0.05   1.7   
-2.8438219101656075    0.05   1.75   
-2.8351176103062956    0.05   1.8   
-2.8214253727054674    0.05   1.85   
-2.8027462245526604    0.05   1.9   
-2.779081640840819    0.05   1.95   
-2.750433669134047    0.05   2.0   
-2.7168051147208403    0.05   2.05   
-2.678199818413483    0.05   2.1   
-2.63462308126727    0.05   2.15   
-2.586082330410075    0.05   2.2   
-2.532588195404068    0.05   2.25   
-2.474156312260401    0.05   2.3   
-2.4108104748631973    0.05   2.35   
-2.342588399172178    0.05   2.4   
-2.2695527819192933    0.05   2.45   
-2.191813399865016    0.05   2.5   
-2.1095716611763202    0.05   2.55   
-2.023202590698703    0.05   2.6   
-1.9333577353186273    0.05   2.65   
-1.8279357352159185    0.05   2.7   
-1.7206734433336974    0.05   2.75   
-1.611751274133084    0.05   2.8   
-1.4981441021698645    0.05   2.85   
-1.3796150241553324    0.05   2.9   
-1.2561349005569409    0.05   2.95   
-1.1277020974585195    0.05   3.0   
-0.9943226660381085    0.05   3.05   
-0.8560070830650669    0.05   3.1   
-0.71277019214211    0.05   3.15   
-0.5646323496454774    0.05   3.2   
-0.4116215701842176    0.05   3.25   
-0.2537770238364952    0.05   3.3   
-0.09115471375326889    0.05   3.35   
0.0761630636569629    0.05   3.4   
0.24805134427087328    0.05   3.45   
0.4243127901022517    0.05   3.5   
0.6046206518099808    0.05   3.55   
0.7884014290421522    0.05   3.6   
0.974571921649775    0.05   3.65   
1.160882335728374    0.05   3.7   
1.3420238957574906    0.05   3.75   
1.503011382793658    0.05   3.8   
1.5888905983685853    0.05   3.85   
1.3192631197123037    0.05   3.9   
0.08626235230818591    0.05   3.95   
-0.18488086007054513    0.05   4.0   
-0.3930780280824735    0.1   0.05   
-0.32750000394880774    0.1   0.1   
-0.6286126428487155    0.1   0.15   
-0.75379998798656    0.1   0.2   
-0.879427792209727    0.1   0.25   
-1.0040908748547126    0.1   0.3   
-1.126848149159776    0.1   0.35   
-1.2470246458171284    0.1   0.4   
-1.3641186640285738    0.1   0.45   
-1.4777491121129405    0.1   0.5   
-1.5876220991265153    0.1   0.55   
-1.6935083055167766    0.1   0.6   
-1.7952270348573236    0.1   0.65   
-1.8926346815200334    0.1   0.7   
-1.9856162395594366    0.1   0.75   
-2.0740789643411977    0.1   0.8   
-2.1579475880575423    0.1   0.85   
-2.237160673693712    0.1   0.9   
-2.3116678132565327    0.1   0.95   
-2.3814274586792488    0.1   1.0   
-2.4464052313461937    0.1   1.05   
-2.5065725969316355    0.1   1.1   
-2.5619058215146504    0.1   1.15   
-2.6123851462080916    0.1   1.2   
-2.6579941331845642    0.1   1.25   
-2.6987191476234034    0.1   1.3   
-2.7345489488833254    0.1   1.35   
-2.765474370943601    0.1   1.4   
-2.791488077452869    0.1   1.45   
-2.8125843810343896    0.1   1.5   
-2.8287591201853366    0.1   1.55   
-2.840009590493854    0.1   1.6   
-2.846334530289081    0.1   1.65   
-2.8477341645872114    0.1   1.7   
-2.8442103157121834    0.1   1.75   
-2.835766594861094    0.1   1.8   
-2.8224086969772335    0.1   1.85   
-2.8041448328749907    0.1   1.9   
-2.7809863495746923    0.1   1.95   
-2.7529486152537603    0.1   2.0   
-2.720052283677606    0.1   2.05   
-2.6823251111885167    0.1   2.1   
-2.6398045864899924    0.1   2.15   
-2.5925417597012905    0.1   2.2   
-2.540606825347691    0.1   2.25   
-2.4840971963419296    0.1   2.3   
-2.4231488751454804    0.1   2.35   
-2.3579515352799816    0.1   2.4   
-2.288766184107626    0.1   2.45   
-2.2159409036840523    0.1   2.5   
-2.1399159952399107    0.1   2.55   
-2.061209662426633    0.1   2.6   
-1.958127408335156    0.1   2.65   
-1.843948230781294    0.1   2.7   
-1.7352416806225794    0.1   2.75   
-1.625490019622225    0.1   2.8   
-1.512326421528068    0.1   2.85   
-1.3949626116794693    0.1   2.9   
-1.273147270867545    0.1   2.95   
-1.146821105487139    0.1   3.0   
-1.0160102807011657    0.1   3.05   
-0.8807947214836156    0.1   3.1   
-0.7413034245504382    0.1   3.15   
-0.597723468648963    0.1   3.2   
